ID_Num,Age,Gender,Income,Education_Level,Travel_Frequency,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
1,60,non-binary,106253,high school,9,4368,suburban,8,32,spring,1,0,0
7,47,female,42539,high school,9,2232,urban,240,182,fall,1,1,0
17,47,female,98353,high school,8,1069,urban,61,36,winter,0,1,0
18,55,non-binary,21676,bachelor,7,2233,urban,2,56,spring,1,1,0
26,48,female,60405,master,4,3750,urban,41,172,spring,0,1,0
43,53,male,116622,bachelor,8,4740,urban,142,146,spring,0,0,1
50,35,female,80822,high school,2,1423,urban,165,205,summer,0,0,1
60,49,female,117332,doctorate,6,4198,suburban,160,161,summer,1,1,1
68,37,male,24831,doctorate,9,3487,urban,214,152,spring,1,0,0
70,69,male,77030,high school,3,2487,urban,50,36,fall,1,1,0
73,67,male,89609,bachelor,7,645,rural,266,65,spring,0,0,0
80,43,non-binary,85043,doctorate,9,1943,suburban,217,84,fall,1,0,0
81,56,male,72242,high school,4,2457,rural,25,31,fall,1,1,1
83,41,non-binary,89377,bachelor,8,1496,urban,163,247,fall,1,0,1
93,33,male,70033,high school,1,4561,rural,228,195,summer,0,0,0
97,51,non-binary,34332,bachelor,4,677,rural,54,12,fall,0,1,0
101,37,female,23374,bachelor,3,1878,rural,252,193,spring,0,1,0
102,32,male,50848,doctorate,9,3753,suburban,167,219,fall,0,0,0
109,21,non-binary,31655,bachelor,9,2268,urban,103,173,fall,0,1,0
111,41,female,108566,master,0,1644,urban,35,99,summer,0,1,1
115,33,male,47277,doctorate,8,4823,urban,218,192,fall,1,1,0
128,40,non-binary,104317,master,4,3475,rural,62,57,fall,0,0,0
132,62,female,36020,master,0,3765,rural,215,86,fall,0,0,0
136,45,non-binary,107474,master,1,3488,rural,171,175,spring,0,1,1
153,30,female,62504,bachelor,2,632,suburban,190,111,winter,1,0,0
156,48,male,53599,doctorate,2,2396,rural,145,273,winter,1,0,0
159,49,male,100315,bachelor,0,2032,rural,205,212,spring,1,1,1
160,66,male,90105,bachelor,5,1637,suburban,264,34,winter,0,1,0
169,66,non-binary,39197,bachelor,4,4508,rural,222,166,winter,0,1,0
173,62,non-binary,69140,bachelor,6,4009,suburban,231,205,winter,1,0,0
189,40,female,26050,doctorate,7,1001,rural,230,66,summer,1,0,0
194,40,female,103645,doctorate,9,3334,urban,263,118,summer,1,1,0
205,68,female,106383,bachelor,2,4436,suburban,34,29,fall,1,0,0
207,45,non-binary,84083,high school,9,812,urban,22,232,spring,0,1,1
212,59,non-binary,96789,bachelor,5,3237,suburban,103,79,spring,0,0,0
213,55,female,57613,master,0,1778,suburban,267,246,summer,0,1,0
215,39,non-binary,66001,bachelor,2,553,rural,35,225,fall,0,1,1
220,27,male,106175,high school,0,1828,urban,234,19,summer,1,0,0
222,29,non-binary,108003,master,3,1353,rural,49,20,fall,0,1,0
225,66,female,110522,doctorate,8,1950,rural,45,177,fall,0,1,1
247,42,female,72703,master,4,4234,urban,78,140,summer,0,0,0
250,26,female,83722,bachelor,3,812,suburban,181,29,fall,0,0,0
251,40,male,74534,bachelor,7,2547,urban,239,238,summer,1,0,0
255,63,male,112465,master,8,3947,urban,87,63,summer,1,0,0
259,43,male,99789,high school,3,718,suburban,20,128,spring,0,1,0
263,61,male,58921,high school,4,2929,rural,266,285,summer,0,0,1
270,53,non-binary,31604,bachelor,2,3657,suburban,63,196,winter,1,0,1
271,19,female,78174,bachelor,9,1990,rural,113,10,fall,1,0,0
275,41,non-binary,111473,master,1,2287,urban,7,159,winter,0,1,0
279,44,female,54371,bachelor,0,3569,urban,188,226,fall,0,0,0
293,49,male,97009,high school,0,1857,suburban,37,54,fall,0,0,1
296,46,non-binary,93875,bachelor,3,4589,rural,92,227,summer,0,1,1
298,51,female,95679,bachelor,6,1760,suburban,220,18,summer,0,0,0
301,57,non-binary,107510,doctorate,2,2266,urban,33,32,summer,1,1,0
309,63,non-binary,98463,high school,6,1877,rural,167,218,spring,1,1,1
319,48,female,78535,master,1,3412,suburban,172,74,fall,0,0,0
324,54,male,27544,doctorate,6,2593,rural,130,83,summer,0,1,0
327,58,female,90083,bachelor,8,1648,rural,144,179,winter,1,1,1
328,21,female,81256,master,7,852,suburban,17,196,winter,1,0,0
333,55,non-binary,27397,doctorate,3,1497,suburban,227,165,summer,0,0,0
344,28,male,118882,doctorate,9,2862,rural,203,185,fall,1,0,0
347,59,non-binary,38354,doctorate,0,3045,urban,156,40,summer,1,0,0
350,60,male,84121,bachelor,7,1176,suburban,174,198,summer,0,1,1
357,43,female,114859,doctorate,6,3959,urban,62,212,summer,1,1,0
370,19,female,65213,high school,6,4321,urban,260,297,winter,1,1,0
371,62,non-binary,75945,bachelor,0,4612,rural,236,174,winter,0,1,0
374,23,male,111396,high school,6,2499,rural,48,60,spring,0,0,1
379,37,female,109004,bachelor,7,957,suburban,251,180,spring,0,1,0
390,39,non-binary,58641,doctorate,5,592,urban,178,37,spring,1,0,0
392,53,female,69245,doctorate,8,2830,suburban,230,176,summer,0,0,0
396,65,non-binary,35169,doctorate,6,1994,urban,93,121,fall,1,1,0
398,35,non-binary,87661,high school,8,3183,suburban,100,177,summer,0,0,0
400,66,non-binary,54070,master,5,4537,urban,226,47,spring,1,1,0
401,44,non-binary,49378,doctorate,1,3511,rural,15,193,spring,1,1,1
404,35,male,83929,high school,5,3963,rural,147,176,spring,1,0,1
405,28,male,89229,doctorate,5,1077,rural,16,231,fall,0,1,0
406,51,female,106778,doctorate,7,2172,urban,288,165,spring,0,0,0
409,54,non-binary,104296,doctorate,0,4789,urban,56,56,winter,0,1,0
415,48,male,26984,doctorate,7,1783,urban,189,11,winter,1,0,0
425,30,male,75698,master,6,1008,rural,228,129,spring,1,0,0
432,67,female,55717,master,4,1610,suburban,165,188,fall,1,0,1
437,19,non-binary,57105,master,7,1008,urban,21,143,summer,0,1,1
442,44,female,105496,master,5,3653,suburban,254,110,winter,1,0,0
444,30,female,97899,bachelor,5,2934,urban,269,146,winter,0,1,0
448,27,female,107659,doctorate,4,998,rural,237,193,summer,1,0,0
449,39,female,102818,doctorate,6,4994,suburban,147,43,summer,1,1,0
451,33,male,41171,doctorate,8,1401,urban,260,108,summer,0,1,0
452,42,female,68049,high school,2,973,rural,120,258,spring,0,1,1
454,53,male,107180,bachelor,6,1020,suburban,233,293,fall,1,0,0
455,25,female,71229,master,0,4267,suburban,151,232,spring,0,1,1
461,29,non-binary,77183,high school,2,1955,suburban,69,2,spring,1,1,0
462,26,non-binary,92698,bachelor,1,2536,rural,291,226,fall,1,1,0
466,67,non-binary,20967,bachelor,3,4475,urban,291,28,fall,1,1,0
469,65,non-binary,37483,master,4,1700,rural,214,268,fall,1,1,1
476,31,male,74614,bachelor,3,4138,suburban,189,20,winter,1,1,0
485,52,male,49586,bachelor,1,2693,urban,296,4,winter,1,1,0
491,26,male,28591,master,6,3622,suburban,212,170,winter,1,0,0
493,36,male,97516,high school,8,2115,rural,90,90,spring,1,0,0
509,30,non-binary,22121,doctorate,4,1738,urban,165,30,summer,1,0,0
510,29,male,29134,doctorate,8,4334,suburban,4,11,spring,0,0,1
511,62,male,118487,high school,7,4780,rural,17,26,spring,1,1,1
523,60,non-binary,111362,high school,9,4248,suburban,177,217,fall,0,0,0
524,53,non-binary,45049,doctorate,4,2585,suburban,60,112,spring,0,1,0
533,27,non-binary,103838,high school,4,2968,urban,129,272,spring,1,0,0
535,46,female,42808,doctorate,7,4799,rural,155,83,winter,1,0,0
537,49,female,57480,doctorate,9,1519,rural,47,12,fall,1,1,0
539,55,male,25410,high school,7,2598,urban,146,153,fall,0,1,0
543,22,male,103537,doctorate,6,3579,urban,214,299,fall,1,1,1
548,65,non-binary,114328,master,3,3744,suburban,212,117,winter,1,1,0
559,25,male,82957,master,4,4271,rural,160,49,spring,0,0,0
568,40,female,59554,master,4,1988,suburban,256,13,winter,0,1,0
