cost_complexity,tree_depth,min_n,.metric,.estimator,mean,n,std_err,.config
1e-10,5,2,accuracy,multiclass,0.6728728728728729,10,0.008550067266792223,Preprocessor1_Model001
1e-10,5,2,gain_capture,macro,0.7935313173917875,10,0.010739994617291792,Preprocessor1_Model001
1e-10,5,2,precision,macro,0.706703289250466,10,0.008127118727556221,Preprocessor1_Model001
1e-10,5,2,recall,macro,0.6784663592832889,10,0.010015713644219548,Preprocessor1_Model001
1e-10,5,2,roc_auc,hand_till,0.8978621829101981,10,0.0052923053139854554,Preprocessor1_Model001
1.7782794100389228e-8,5,2,accuracy,multiclass,0.6728728728728729,10,0.008550067266792223,Preprocessor1_Model002
1.7782794100389228e-8,5,2,gain_capture,macro,0.7935313173917875,10,0.010739994617291792,Preprocessor1_Model002
1.7782794100389228e-8,5,2,precision,macro,0.706703289250466,10,0.008127118727556221,Preprocessor1_Model002
1.7782794100389228e-8,5,2,recall,macro,0.6784663592832889,10,0.010015713644219548,Preprocessor1_Model002
1.7782794100389228e-8,5,2,roc_auc,hand_till,0.8978621829101981,10,0.0052923053139854554,Preprocessor1_Model002
3.162277660168379e-6,5,2,accuracy,multiclass,0.6728728728728729,10,0.008550067266792223,Preprocessor1_Model003
3.162277660168379e-6,5,2,gain_capture,macro,0.7935313173917875,10,0.010739994617291792,Preprocessor1_Model003
3.162277660168379e-6,5,2,precision,macro,0.706703289250466,10,0.008127118727556221,Preprocessor1_Model003
3.162277660168379e-6,5,2,recall,macro,0.6784663592832889,10,0.010015713644219548,Preprocessor1_Model003
3.162277660168379e-6,5,2,roc_auc,hand_till,0.8978621829101981,10,0.0052923053139854554,Preprocessor1_Model003
5.623413251903491e-4,5,2,accuracy,multiclass,0.6738818363818364,10,0.008444521042805611,Preprocessor1_Model004
5.623413251903491e-4,5,2,gain_capture,macro,0.794289780530411,10,0.010445943254422567,Preprocessor1_Model004
5.623413251903491e-4,5,2,precision,macro,0.7094426191570851,10,0.008092170702570735,Preprocessor1_Model004
5.623413251903491e-4,5,2,recall,macro,0.6798258410939202,10,0.009849309245380357,Preprocessor1_Model004
5.623413251903491e-4,5,2,roc_auc,hand_till,0.8982133717760625,10,0.005157910572934473,Preprocessor1_Model004
0.1,5,2,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model005
0.1,5,2,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model005
0.1,5,2,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model005
0.1,5,2,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model005
0.1,5,2,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model005
1e-10,11,2,accuracy,multiclass,0.8287105287105287,10,0.0127796228926794,Preprocessor1_Model006
1e-10,11,2,gain_capture,macro,0.8213109767685853,10,0.011833776955193217,Preprocessor1_Model006
1e-10,11,2,precision,macro,0.8306647886130261,10,0.01205604652270465,Preprocessor1_Model006
1e-10,11,2,recall,macro,0.8296765930759703,10,0.01304334322358063,Preprocessor1_Model006
1e-10,11,2,roc_auc,hand_till,0.9106978157567597,10,0.005990169585420215,Preprocessor1_Model006
1.7782794100389228e-8,11,2,accuracy,multiclass,0.8287105287105287,10,0.0127796228926794,Preprocessor1_Model007
1.7782794100389228e-8,11,2,gain_capture,macro,0.8213109767685853,10,0.011833776955193217,Preprocessor1_Model007
1.7782794100389228e-8,11,2,precision,macro,0.8306647886130261,10,0.01205604652270465,Preprocessor1_Model007
1.7782794100389228e-8,11,2,recall,macro,0.8296765930759703,10,0.01304334322358063,Preprocessor1_Model007
1.7782794100389228e-8,11,2,roc_auc,hand_till,0.9106978157567597,10,0.005990169585420215,Preprocessor1_Model007
3.162277660168379e-6,11,2,accuracy,multiclass,0.8287105287105287,10,0.0127796228926794,Preprocessor1_Model008
3.162277660168379e-6,11,2,gain_capture,macro,0.8213109767685853,10,0.011833776955193217,Preprocessor1_Model008
3.162277660168379e-6,11,2,precision,macro,0.8306647886130261,10,0.01205604652270465,Preprocessor1_Model008
3.162277660168379e-6,11,2,recall,macro,0.8296765930759703,10,0.01304334322358063,Preprocessor1_Model008
3.162277660168379e-6,11,2,roc_auc,hand_till,0.9106978157567597,10,0.005990169585420215,Preprocessor1_Model008
5.623413251903491e-4,11,2,accuracy,multiclass,0.8276936026936027,10,0.01282852400336908,Preprocessor1_Model009
5.623413251903491e-4,11,2,gain_capture,macro,0.8489561876464913,10,0.012372790342193659,Preprocessor1_Model009
5.623413251903491e-4,11,2,precision,macro,0.8299582256946768,10,0.011461330227300363,Preprocessor1_Model009
5.623413251903491e-4,11,2,recall,macro,0.8290250343388141,10,0.012844553519635407,Preprocessor1_Model009
5.623413251903491e-4,11,2,roc_auc,hand_till,0.9248534062092802,10,0.006175856554074837,Preprocessor1_Model009
0.1,11,2,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model010
0.1,11,2,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model010
0.1,11,2,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model010
0.1,11,2,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model010
0.1,11,2,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model010
1e-10,17,2,accuracy,multiclass,0.8303917553917554,10,0.011187865849007075,Preprocessor1_Model011
1e-10,17,2,gain_capture,macro,0.7939035646010514,10,0.013782657290530308,Preprocessor1_Model011
1e-10,17,2,precision,macro,0.8312920951534417,10,0.010765267200621079,Preprocessor1_Model011
1e-10,17,2,recall,macro,0.8302531175540779,10,0.011490473194355302,Preprocessor1_Model011
1e-10,17,2,roc_auc,hand_till,0.8967684061725095,10,0.0070275387929981115,Preprocessor1_Model011
1.7782794100389228e-8,17,2,accuracy,multiclass,0.8303917553917554,10,0.011187865849007075,Preprocessor1_Model012
1.7782794100389228e-8,17,2,gain_capture,macro,0.7939035646010514,10,0.013782657290530308,Preprocessor1_Model012
